lugar,texto_resena,rating,latitud,longitud
Exploradores Lago Del Desierto,"Excelente coordinación para una excursión preciosa, amena y perfecta para hacer, inclusive, con niños.",5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Excelente excursión! La posibilidad de llegar a los miradores del glaciar Vespigiani y del glaciar Huemul, por senderos de gran belleza.. Para los que gustan de hacer trekking. Si bien los senderos son autoguiados, los guías son super atentos y simpáticos con los turistas. Un ""break"" con café, chocolate y galletitas. Muy recomendable!",5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Disfrutamos del paisaje y el entorno natural.
Lo que no nos gustó es que ponen un tiempo ajustado para recorrer los senderos tanto al Glaciar Vespignano como al Huemul considerando que hay pasajeros de distintas edades y condiciones físicas.
No se da el tiempo para un mínimo disfrute.",3,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Contratamos la excursión a Lago del Desierto, la cual incluía traslado, navegación y visita a los glaciares Vespigiani y Huemul. 

Lamentablemente, la guía brindó muy poca información en todo el trayecto. Durante el traslado por tierra, nos hicieron escuchar tres audios con muy poco contenido específico de los lugares que íbamos a visitar.

Además, en un tramo de la excursión quedamos sin guía, y no habíamos recibido indicaciones adecuadas para acceder al glaciar Huemul.

El lugar es muy lindo, pero tienen muchísimo por mejorar en relación con la designación del guía turístico.",2,-49.330086,-72.88633
Exploradores Lago Del Desierto,Muy linda excursión. Guías atentos con el turista. Puntuales y gentiles. Super recomendable. Paisaje increíble.,5,-49.330086,-72.88633
Exploradores Lago Del Desierto,"We were very lucky with weather - a beautiful day. Collection was without any problem from our accommodation. The crew were helpful (in Spanish and English).

We opted for the 2 glacier trip. If we had one minor gripe it was timing: we had ample time to see Vespignani (and plenty to spare as we waited for the return boat) but we only just had time to get to Huemul and back - practically running up and down the ~50 min / 230m climb trail. An additional 30 mins at Huemul would have made it that little better.

Still, some breathtaking scenery to be sure. 2 differently but equally beautiful spots.",4,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Ce sont des cowboys qui sortent le bateau quand ils veulent sans donner d’explication ni d’excuse si il y a retard.
Prévoyez assez de nourriture si vous devez attendre le bateau du côté punta norte.",1,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Queria hacer un trekking por el lado norte del lago del desierto y candelario mancilla

Consulte en la agencia del chalten exploradores lago del desierto y la chica me indico que los jueves salian de punta sur del lago a las 10am dejandome en punta norte. Y el sabado recogian a la gente a las 11am de punta norte para volver al Chalten. Le comente que el domingo tenia el vuelo a Bs As, y me confirmo que los sabados era la vuelta, y si habia alguna situacion podia pedir a gendarmeria que llame por radio al bote. Volvi a consultar lo mismo en el barco para asegurarme y me confirmaron lo mismo.

El sabado a las 11am estaba esperando con 2 norte americanos, un italiano y un suizo que venian de villa o'higgins. Como eran las 11:30 y no llegaban, el suizo consulta por mensaje a la oficina del chalten, donde le indican que le diga a gendarmeria que ellos llamen por radio al bote si venian a recogernos. Del bote les responden a gendarmeria que vendrian al dia siguiente, el domingo. 

Al dia siguiente nos buscaron solo a nosotros. Cuando les consultamos porque no vinieron el dia que tenian programado, no nos dieron explicacion ni se disculparon.

Yo perdi el vuelo y tuve que comprar otro pasaje.

Reconozco lo bien que se porto la gente de gendarmeria que al ver la irregularidad de la situacion, nos consultaron si teniamos para comer a la noche, ofreciendonos pastas o necesitabamos algo.

Me parece que si es la unica agencia que hace un tour y cruce del lago, tendrian que respetar lo que prometen. Y no usar gendarmeria como guarderia de turistas o para comunicarse.",1,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Muy buena experiencia. Los guías muy cordiales y serviciales.
Compramos la excursión por la página de Despegar y elegimos la que incluía el sendero azul (vista más cercana del glaciar, sendero dentro del bosque de 3km y un poco más de 500m de desnivel), por lo que nos esperaron una hora más para poder terminarlo mientras que el resto de los pasajeros recorría el glaciar Huemul (algo que ya habíamos hecho). Antes de salir hacia el sendero nos dieron varias indicaciones y una radio (porque íbamos solas por el sendero) con la cual uno de los guías se estuvo comunicando constantemente con nosotras para chequear que todo estuviera bien. Al llegar fue espectacular, lo valió completamente (así como todo en el Chalten). Luego, al regresar al domo, nos esperaron con un chocolate caliente y galletitas (estaba incluido en la excursión que compramos) como para completar la experiencia de mejor manera aún.
Debido al tiempo que disponíamos no pudimos hacer el resto de los senderos, sino sólo el azul.
Recomendable si el estado físico y las condiciones climáticas se los permite.",4,-49.330086,-72.88633
Exploradores Lago Del Desierto,"Visité Lago del desierto y reserva Vespignani recientemente. 
El lugar es una maravilla de la naturaleza, pero los servicios de la empresa fueron decepcionantes. 
La atención en la oficina de ""Exploradores..."" fue grosera, por lo cual compramos la excursión en otra agencia, pero ""Exploradores..."" es la única empresa que te lleva y, a juzgar por nuestra experiencia, es desprolija. 
La guía brasileña que nos acompañó no aportó la información y los comentarios geográficos, históricos, etc, que, en general, esperamos cuando vamos a conocer un lugar así. 
El conductor que nos trajo de vuelta a El Chalten musicalizó con Bossa nova... (hermoso género, pero me pareció fuera de contexto).
Considero que no es lo mejor que podemos ofrecer a quienes viajan desde lejos para conocer la Patagonia Argentina (por cierto, afortunadamente, El Chalten estaba lleno de turistas de muchos lugares del mundo).
En resumen, en mi opinión, el lugar es hermoso, pero a la organización le faltó onda, alma, corazón...",3,-49.330086,-72.88633
Exploradores Lago Del Desierto,"En la WEB ofrecen servicios que no proporcionan (por ej. el traslado desde el centro de El Chalten hasta la estancia El Pilar). La atencion en el local de El Chalten fue sumamente descortes hoy. No podemos opinar mas porque, obviamente, no contratamos ningun servicio. Buen camino",1,-49.330086,-72.88633
Parque Municipal Llao Llao,"Wet and muddy walk but really peaceful with the sound of the rain and the route taking you past the arrayanes and then to see the beach on the lake 

The Arrayanes trees are absolutely spectacular! Then the view from the beach is stunning, even though when we were there it was raining it was a dramatic view with the mountains and the clouds!

There is a car park at the park entrance and if that’s full, you’re able to park alongside the road. Just be careful if parking alongside the road as if you park in the mud and it rains, your car may become stuck (we noticed a few people pushing cars from mud) 

The walk is very easy for any ability and like I said it’s extremely peaceful! 

If you’re in the area and like a walk, I recommend this route. There is also a small van that sells sweet and savoury snacks!",4,-41.05206,-71.540215
Parque Municipal Llao Llao,"A beautiful place to contemplate nature and enjoy the landscape, plants and birds. Well marked path and care. At least when we went 2/15 in the morning there were many people who made it difficult to have a moment of silence. The availability of bathrooms very important and valued.",4,-41.05206,-71.540215
Parque Municipal Llao Llao,"A park cut by a Ruta. 
Be aware of this when choosing the side on which you will make the sandwich.
Beautiful landscapes. You don't know where to look.😁",5,-41.05206,-71.540215
Parque Municipal Llao Llao,"I did the trail from Cerro Llao Llao and I was surprised by the view. The difficulty level is easy/medium, if I'm not mistaken it's 6/7KM but for me who never did track I found super quiet. And the view is really very beautiful, really. In the mirante (where there are some stones) you can even make a picnic",5,-41.05206,-71.540215
Parque Municipal Llao Llao,It's a beautiful experience we went as a family!! All beautiful is worth it. The views are unique we would do the trail again!!,5,-41.05206,-71.540215
Parque Municipal Llao Llao,The landscapes were amazing...those lakes those forests...the beautiful city...with flowers...they told me that in autumn it gets beautiful...very sad the fires 😭 to enjoy...every corner...,5,-41.05206,-71.540215
Parque Municipal Llao Llao,"The Llao Llao National Park in San Carlos de Bariloche is a prime work of nature. Breathtaking landscapes, it has a number of attractions, among them is the famous Resort Llao Llao, visited by tourists from all over the world.",5,-41.05206,-71.540215
Parque Municipal Llao Llao,"We rented a car in September 2024 and we made the Chico circuit and found this park . Free entry and a trail (very easy) to make (old , child ) . We take around 1 hour (travel) at the end of the trail has a lake and in the middle of the trail you find an arrayán tree forest (species of Patagonia). 
I suggest taking a paradinha on the site and walk the trail and see some of the vegetation of the site",5,-41.05206,-71.540215
Parque Municipal Llao Llao,Visited both in November 2022 and now. Good park to walk with most of the low-demand trails. You can see a lot of biodiversity (although it's a shame that it is so invaded by reeds that it is an Invasive Exotic Species).,4,-41.05206,-71.540215
Parque Municipal Llao Llao,"Beautiful place: myrtle forest, forests, views of Llao Llao, Lago Escondido, viewpoints.
You can go from the center of Bariloche by bus: with bus 20 you have to get off at Puerto Pañuelo (the bus takes you behind the Civic Center on San Martin Street, where the artisans' tent is).
From Puerto Pañuelo you walk a few meters and you reach the beginning of the trail: the forest is very beautiful, there is a small forest of myrtle trees and further on you reach a beach on Lake Moreno from where you can see the Hotel Llao Llao, the viewpoint , the bridge over Lake Moreno that divides Moreno West and Moreno East, you can see trout, etc.
Continuing in the same direction you reach the route (Circuito Chico) and walking a few meters and crossing the route you can start another path to go to Lago Escondido, Bahia Los Trunks and Miradores del Capilla and Bahia Lopez.
We walked towards Bahia Lopez where the hotel is thinking about having a snack there, we only took a few snacks because unfortunately there weren't many options... The bus 10 passes by the hotel but has a very bad frequency (the next one was going to pass after 10 p.m.), so we walked towards the road to Colonia Switzerland. Buses 13 and 10 pass there. The 10 goes to the center of Bariloche but it was very full and we couldn't get on, so we took the 13 to km 18 and from there we combined with the 20 to return to the center of Bariloche.
If you can choose the day to go, I advise against going on Sundays since those are the days when there is a bus stop in Colonia Switzerland and the buses leave full from there and do not stop along the route.",4,-41.05206,-71.540215
Parque Municipal Llao Llao,"My husband and I arrived by public transport to Puerto Pañuelo and then we walked to the access. At the entrance there is a place where you can buy something hot or drinks, it has several tables where you can have some mates and it has public bathrooms. We did the Arrayanes and Lago Moreno Trail at the first opportunity. It is of low difficulty, you can see beautiful landscapes. Then we returned another day to do Villa Tacul, it seemed a bit long and tiring. We arrived at a small beach that was full of people, very close to the parking lot. To return we took the route and the way seemed shorter to me. Please note that you cannot enter the Llao Llao Municipal Park with motorcycles or bicycles, and animals are not allowed.",4,-41.05206,-71.540215
Parque Municipal Llao Llao,"It is surprising that such a well-worn place continues to hide these comforting corners. Low difficulty trekking to share with the family... and free!!! Suitable even in winter. Own parking at the beginning of the trail coming from Bariloche through ""Circuito Chico"" accessed on the left 800 meters after Puerto Pañuelo. There they will have information on signs about the different trails. From that same place you can start the Myrtles Trail that reaches Lago Moreno but halfway there you will find beautiful large myrtles. There is no service so you have to take what you need, including water and clothing in several layers. There is a picnic table at the beginning and it is not usually full of people even in high season. The path to Villa Tacul that takes you to the bay and beach but over Lake Nahuel Huapi is 400 meters further along the road and on the right side of the route. It is a good complementary activity to Myrtles with a little more demand without any technical difficulties. Planning to arrive for lunch at Tacul Bay can be unforgettable. Warning: return along the same path, since if you take another path you can still travel through a divine landscape....but you will appear a few kilometers further from the starting point....and if you went by car you will never forget it. They are short walks with little elevation gain and only require time. In each one you travel about 6 km. A great opportunity to exercise as a family.",4,-41.05206,-71.540215
Parque Municipal Llao Llao,Podes llegar en colectivo de linea ( el 20 ) desde el centro y hacer los senderos que mas te gusten!,5,-41.05206,-71.540215
Parque Municipal Llao Llao,"Los senderos están muy bien cuidados y señalizados. Excelentes recorridos para principiantes, cortos y con hermosas vistas",5,-41.05206,-71.540215
Parque Municipal Llao Llao,Bello y refaccionado hotel. Se puede ingresar y hacer un brunch u otras comidas. Es un clasico de Bari... hay que visitarlo!,4,-41.05206,-71.540215
Parque Municipal Llao Llao,"Tiene varios circuitos cortos para caminar y encontrarse inmerso en el bosque. Muy buenos el bosque de Arrayanes, Mirador Lago Moreno, escalar Cerro Llao Llao, Lago Escondido y bahia Los Troncos.",5,-41.05206,-71.540215
Parque Municipal Llao Llao,"Ya hicimos varias veces caminatas por este parque. Tiene varios senderos, sin gran dificultad en el medio del bosque, con preciosas vistas al lago. Los senderos están muy bien señalizados y cuidados",5,-41.05206,-71.540215
